2020Month,Total Trips,Subscriber Trips Count,% Subscriber Trips,Customer Trips Count,% Customer Trips,Trips by Males,% Trips by Males,Trips by Females,% Trips by Females,Trips by Unknown Gender,% Trips by Unknown Gender,Start Station Count,Bike ID Count
Mar,1068457,914068,85.55028419487168,154389,14.44971580512833,722979,67.6657085872431,263862,24.695612457965087,81616,7.638678954791817,889,14882
Apr,682762,516495,75.64788315694196,166267,24.35211684305805,412624,60.43452916243142,191812,28.093537718853717,78326,11.471933118714867,887,14780
May,1487890,1012059,68.01974608337981,475831,31.980253916620182,817093,54.916223645565196,460580,30.95524534743832,210217,14.128531006996484,923,15003
Jun,1882273,1306688,69.42074821240064,575585,30.579251787599354,1044621,55.497847549213105,586361,31.15175110092957,251291,13.350401349857327,958,15849
