Month,Total Trips,Subscriber Trips Count,% Subscriber Trips,Customer Trips Count,% Customer Trips,Trips by Males,% Trips by Males,Trips by Females,% Trips by Females,Trips by Unknown Gender,% Trips by Unknown Gender,Start Station Count,Bike ID Count
Mar,1327960,1221302,91.968282177174,106658,8.03171782282599,962603,72.48734901653664,293780,22.12265429681617,71577,5.389996686647188,769,13966
Apr,1766094,1536661,87.00901537517257,229433,12.990984624827446,1218551,68.99695033220202,409285,30.82058194523932,138258,7.828462131687215,784,14457
May,1924563,1629997,84.69439555888792,294566,15.305604441112086,1293779,67.22455954936264,462613,24.037300935329213,168171,8.73813951530815,793,12896
Jun,2125370,1752526,82.45745446675167,372844,17.54254553324833,1399108,65.82891449488795,527577,24.822830848275828,198685,9.348254656836222,793,14319
