start station id,start station latitude,start station longitude,start station name,count
72,40.76727216,-73.99392888,W 52 St & 11 Ave,3738
79,40.71911552,-74.00666661,Franklin St & W Broadway,2396
82,40.71117416,-74.00016545,St James Pl & Pearl St,1283
83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,1965
116,40.74177603,-74.00149746,W 17 St & 8 Ave,5059
119,40.69608941,-73.97803415,Park Ave & St Edwards St,515
120,40.68676793,-73.95928168,Lexington Ave & Classon Ave,1541
127,40.73172428,-74.00674436,Barrow St & Hudson St,5355
128,40.72710258,-74.00297088,MacDougal St & Prince St,5838
143,40.69239502,-73.99337909,Clinton St & Joralemon St,1814
144,40.69839895,-73.98068914,Nassau St & Navy St,1236
146,40.71625008,-74.0091059,Hudson St & Reade St,2708
150,40.720873600000004,-73.98085795,E 2 St & Avenue C,3504
151,40.72210378668603,-73.99724900722505,Cleveland Pl & Spring St,8245
152,40.71473993,-74.00910627,Warren St & W Broadway,383
157,40.69089272,-73.99612349,Henry St & Atlantic Ave,2196
161,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,4865
164,40.75323098,-73.97032517,E 47 St & 2 Ave,2962
168,40.73971301,-73.99456405,W 18 St & 6 Ave,3028
173,40.76068327096592,-73.98452728986742,Broadway & W 49 St,5515
174,40.7381765,-73.97738662,E 25 St & 1 Ave,4140
212,40.74334935,-74.00681753,W 16 St & The High Line,3835
216,40.70037867,-73.99548059,Columbia Heights & Cranberry St,997
217,40.70277159,-73.99383605,Old Fulton St,3253
223,40.73781509,-73.99994661,W 13 St & 7 Ave,4345
224,40.71146364,-74.00552427,Spruce St & Nassau St,2497
228,40.7546011026,-73.971878855,E 48 St & 3 Ave,2581
229,40.72743423,-73.99379025,Great Jones St,5400
236,40.7284186,-73.98713956,St Marks Pl & 2 Ave,7678
237,40.73047309,-73.98672378,E 11 St & 2 Ave,1119
238,40.7361967,-74.00859207,Bank St & Washington St,3601
239,40.69196566,-73.9813018,Willoughby St & Fleet St,1999
241,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave,2620
242,40.697787,-73.973736,Carlton Ave & Flushing Ave,885
244,40.69196035,-73.96536851,Willoughby Ave & Hall St,1541
245,40.69327018,-73.97703874,Myrtle Ave & St Edwards St,1204
247,40.73535398,-74.00483091,Perry St & Bleecker St,4846
248,40.72185379,-74.00771779,Laight St & Hudson St,1042
249,40.71870987,-74.0090009,Harrison St & Hudson St,1433
250,40.72456089,-73.99565293,Lafayette St & Jersey St,5562
251,40.72317958,-73.99480012,Mott St & Prince St,6253
252,40.73226398,-73.99852205,MacDougal St & Washington Sq,3970
254,40.73532427,-73.99800419,W 11 St & 6 Ave,3531
257,40.71939226,-74.00247214,Lispenard St & Broadway,3595
258,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave,2302
259,40.70122128,-74.01234218,South St & Whitehall St,3350
260,40.70365182,-74.01167797,Broad St & Bridge St,1616
261,40.69474881,-73.98362464,Johnson St & Gold St,1248
262,40.6917823,-73.97372990000001,Washington Park,1727
264,40.70706456,-74.00731853,Maiden Ln & Pearl St,2405
265,40.72229346,-73.99147535,Stanton St & Chrystie St,3951
267,40.75097711,-73.98765428,Broadway & W 36 St,2814
268,40.71910537,-73.99973337,Howard St & Centre St,3578
270,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,1497
274,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl,2526
275,40.68650065,-73.96563307,Washington Ave & Greene Ave,1244
276,40.71748752,-74.0104554,Duane St & Greenwich St,1775
278,40.69766564,-73.98476437,Concord St & Bridge St,1244
280,40.73331967,-73.99510132,E 10 St & 5 Ave,3052
281,40.764397100000004,-73.97371465,Grand Army Plaza & Central Park S,957
282,40.7076449441757,-73.96841526031494,Kent Ave & S 11 St,3006
284,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave,7756
285,40.73454567,-73.99074142,Broadway & E 14 St,7717
289,40.684568299999995,-73.95881081,Monroe St & Classon Ave,834
291,40.713126,-73.984844,Madison St & Montgomery St,2249
293,40.73020660529954,-73.99102628231049,Lafayette St & E 8 St,6670
295,40.71406667,-73.99293911,Pike St & E Broadway,2954
297,40.734232,-73.986923,E 15 St & 3 Ave,6356
298,40.68683208,-73.9796772,3 Ave & Schermerhorn St,2003
301,40.72217444,-73.98368779,E 2 St & Avenue B,5854
302,40.72082834,-73.97793172,Avenue D & E 3 St,2874
303,40.72362738,-73.99949601,Mercer St & Spring St,4106
304,40.70463334,-74.01361706,Broadway & Battery Pl,3859
305,40.76095756,-73.96724467,E 58 St & 3 Ave,5220
307,40.71427487,-73.98990025,Canal St & Rutgers St,5764
308,40.71307916,-73.99851193,St James Pl & Oliver St,2483
309,40.7149787,-74.013012,Murray St & West St,3177
310,40.68926942,-73.98912867,State St & Smith St,1907
311,40.7172274,-73.98802084,Norfolk St & Broome St,5054
312,40.722055,-73.989111,Allen St & Stanton St,5512
313,40.69610226,-73.96751037,Washington Ave & Park Ave,1391
315,40.70355377,-74.00670227,South St & Gouverneur Ln,3372
316,40.70955958,-74.00653609,Fulton St & William St,2601
317,40.72453734,-73.98185424,E 6 St & Avenue B,6199
319,40.711065999999995,-74.009447,Fulton St & Broadway,5348
320,40.717571,-74.005549,Leonard St & Church St,3281
321,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl,1296
323,40.69236178,-73.98631746,Lawrence St & Willoughby St,2471
324,40.689888,-73.981013,DeKalb Ave & Hudson Ave,1916
325,40.73624527,-73.98473765,E 19 St & 3 Ave,5341
326,40.72953837,-73.98426726,E 11 St & 1 Ave,1252
327,40.715337899999994,-74.01658354,Vesey Pl & River Terrace,4464
328,40.72405549,-74.00965965,Watts St & Greenwich St,3327
330,40.71450451,-74.00562789,Reade St & Broadway,2123
331,40.71173107,-73.99193043,Pike St & Monroe St,2774
332,40.71219906,-73.97948148,Cherry St,2892
334,40.74238787,-73.99726235,W 20 St & 7 Ave,5231
335,40.72903917,-73.99404649,Washington Pl & Broadway,3444
336,40.73047747,-73.99906065,Sullivan St & Washington Sq,4405
340,40.71269042,-73.98776323,Madison St & Clinton St,2989
341,40.71782143,-73.97628939,Stanton St & Mangin St,2447
342,40.71739973,-73.98016555,Columbia St & Rivington St,2228
343,40.69794,-73.96986848,Clinton Ave & Flushing Ave,986
344,40.6851443,-73.95380904,Monroe St & Bedford Ave,1427
346,40.73652889,-74.00618026,Bank St & Hudson St,4378
347,40.728846000000004,-74.00859100000001,Greenwich St & W Houston St,4873
349,40.71850211,-73.98329859,Rivington St & Ridge St,3644
350,40.71559509,-73.9870295,Clinton St & Grand St,6339
351,40.70530954,-74.00612572,Front St & Maiden Ln,1650
353,40.68539567,-73.97431458,S Portland Ave & Hanson Pl,1370
354,40.69363137,-73.96223558,Emerson Pl & Myrtle Ave,1768
355,40.71602118,-73.99974372,Bayard St & Baxter St,3957
356,40.71622644,-73.98261206,Bialystoker Pl & Delancey St,209
358,40.73291553,-74.00711384,Christopher St & Greenwich St,8745
359,40.75510267,-73.97498696,E 47 St & Park Ave,3499
360,40.70717936,-74.00887308,William St & Pine St,3932
361,40.71605866,-73.99190759,Allen St & Hester St,5250
362,40.75172632,-73.98753523,Broadway & W 37 St,2353
363,40.70834698,-74.01713445,West Thames St,2526
364,40.68900443,-73.96023854,Lafayette Ave & Classon Ave,1452
366,40.693261,-73.968896,Clinton Ave & Myrtle Ave,2043
367,40.75828065,-73.97069431,E 53 St & Lexington Ave,3198
368,40.73038599,-74.00214988,Carmine St & 6 Ave,8430
369,40.73224119,-74.00026394,Washington Pl & 6 Ave,4290
372,40.694546087246025,-73.95801365375519,Franklin Ave & Myrtle Ave,853
373,40.69331716,-73.95381995,Willoughby Ave & Walworth St,1236
376,40.70862144,-74.00722156,John St & William St,2334
377,40.72243797,-74.00566443,6 Ave & Canal St,2313
379,40.749156,-73.9916,W 31 St & 7 Ave,5558
380,40.73401143,-74.00293877,W 4 St & 7 Ave S,7276
383,40.735238,-74.000271,Greenwich Ave & Charles St,4524
385,40.75797322,-73.96603308,E 55 St & 2 Ave,4850
386,40.71494807,-74.00234482,Centre St & Worth St,2127
387,40.71273266,-74.0046073,Centre St & Chambers St,3937
388,40.749717753,-74.002950346,W 26 St & 10 Ave,3547
389,40.71044554,-73.96525063,Broadway & Berry St,2802
390,40.69221589,-73.9842844,Duffield St & Willoughby St,2004
